x(mm) y(mm) z(mm) px py pz E(MeV)
-0.409649 0.000000 2.155098 0.000000 -1.000000 0.000000 1.000000
-0.169339 0.000000 2.478725 0.000000 -1.000000 0.000000 1.000000
0.409927 0.000000 -2.146425 0.000000 -1.000000 0.000000 1.000000
0.472724 0.000000 -3.414561 0.000000 -1.000000 0.000000 1.000000
0.776415 0.000000 -4.464952 0.000000 -1.000000 0.000000 1.000000
-1.869181 0.000000 -4.590438 0.000000 -1.000000 0.000000 1.000000
-0.941863 0.000000 -3.317004 0.000000 -1.000000 0.000000 1.000000
-1.656071 0.000000 -3.624969 0.000000 -1.000000 0.000000 1.000000
-0.158832 0.000000 -1.180186 0.000000 -1.000000 0.000000 1.000000
-0.960703 0.000000 3.062525 0.000000 -1.000000 0.000000 1.000000
1.854547 0.000000 4.827164 0.000000 -1.000000 0.000000 1.000000
-0.778152 0.000000 4.511885 0.000000 -1.000000 0.000000 1.000000
0.330115 0.000000 2.039737 0.000000 -1.000000 0.000000 1.000000
0.571662 0.000000 2.356547 0.000000 -1.000000 0.000000 1.000000
0.593564 0.000000 1.937777 0.000000 -1.000000 0.000000 1.000000
0.165176 0.000000 1.084403 0.000000 -1.000000 0.000000 1.000000
-0.137127 0.000000 -1.596347 0.000000 -1.000000 0.000000 1.000000
-1.894731 0.000000 -4.128487 0.000000 -1.000000 0.000000 1.000000
-0.330378 0.000000 -2.024101 0.000000 -1.000000 0.000000 1.000000
1.444831 0.000000 3.719704 0.000000 -1.000000 0.000000 1.000000
-1.084550 0.000000 5.791775 0.000000 -1.000000 0.000000 1.000000
1.212850 0.000000 3.154074 0.000000 -1.000000 0.000000 1.000000
0.709319 0.000000 7.670722 0.000000 -1.000000 0.000000 1.000000
-0.605873 0.000000 -1.678672 0.000000 -1.000000 0.000000 1.000000
0.178454 0.000000 -2.641045 0.000000 -1.000000 0.000000 1.000000
-0.562391 0.000000 -2.515009 0.000000 -1.000000 0.000000 1.000000
