x(mm) y(mm) z(mm) px py pz E(MeV)
-0.516772 100.000000 -3.340857 0.000000 -1.000000 0.000000 1.000000
-1.458475 100.000000 -0.336736 0.000000 -1.000000 0.000000 1.000000
3.025336 100.000000 5.104441 0.000000 -1.000000 0.000000 1.000000
1.507474 100.000000 2.435874 0.000000 -1.000000 0.000000 1.000000
-0.089211 100.000000 5.243523 0.000000 -1.000000 0.000000 1.000000
1.455514 100.000000 0.412456 0.000000 -1.000000 0.000000 1.000000
-0.383454 100.000000 -1.834799 0.000000 -1.000000 0.000000 1.000000
0.504866 100.000000 -0.471880 0.000000 -1.000000 0.000000 1.000000
-1.710701 100.000000 -3.466357 0.000000 -1.000000 0.000000 1.000000
-0.510675 100.000000 4.256000 0.000000 -1.000000 0.000000 1.000000
1.031083 100.000000 6.342520 0.000000 -1.000000 0.000000 1.000000
-2.491960 100.000000 4.632132 0.000000 -1.000000 0.000000 1.000000
-2.474172 100.000000 4.171240 0.000000 -1.000000 0.000000 1.000000
-1.908223 100.000000 2.805876 0.000000 -1.000000 0.000000 1.000000
-1.672259 100.000000 -3.210431 0.000000 -1.000000 0.000000 1.000000
1.497121 100.000000 -0.411944 0.000000 -1.000000 0.000000 1.000000
1.283249 100.000000 -0.604006 0.000000 -1.000000 0.000000 1.000000
1.909317 100.000000 -2.811853 0.000000 -1.000000 0.000000 1.000000
0.510931 100.000000 -4.248613 0.000000 -1.000000 0.000000 1.000000
-1.510057 100.000000 -2.366750 0.000000 -1.000000 0.000000 1.000000
2.486000 100.000000 -4.451484 0.000000 -1.000000 0.000000 1.000000
2.181727 100.000000 3.601820 0.000000 -1.000000 0.000000 1.000000
1.777086 100.000000 2.225115 0.000000 -1.000000 0.000000 1.000000
-1.887305 100.000000 2.383332 0.000000 -1.000000 0.000000 1.000000
1.709350 100.000000 3.495994 0.000000 -1.000000 0.000000 1.000000
0.366684 100.000000 -1.337410 0.000000 -1.000000 0.000000 1.000000
1.888388 100.000000 -2.388795 0.000000 -1.000000 0.000000 1.000000
1.078345 100.000000 -1.674204 0.000000 -1.000000 0.000000 1.000000
-1.499332 100.000000 0.487890 0.000000 -1.000000 0.000000 1.000000
0.790508 100.000000 -1.096633 0.000000 -1.000000 0.000000 1.000000
2.952735 100.000000 6.143139 0.000000 -1.000000 0.000000 1.000000
-0.648506 100.000000 1.953644 0.000000 -1.000000 0.000000 1.000000
-0.366351 100.000000 1.345794 0.000000 -1.000000 0.000000 1.000000
-1.586244 100.000000 1.464395 0.000000 -1.000000 0.000000 1.000000
-1.359256 100.000000 2.154729 0.000000 -1.000000 0.000000 1.000000
-1.274921 100.000000 0.505615 0.000000 -1.000000 0.000000 1.000000
0.219250 100.000000 -3.461092 0.000000 -1.000000 0.000000 1.000000
-1.777922 100.000000 -2.195146 0.000000 -1.000000 0.000000 1.000000
-1.369726 100.000000 -4.945601 0.000000 -1.000000 0.000000 1.000000
2.466795 100.000000 -3.994775 0.000000 -1.000000 0.000000 1.000000
0.196090 100.000000 -2.373449 0.000000 -1.000000 0.000000 1.000000
-0.958321 100.000000 -2.930232 0.000000 -1.000000 0.000000 1.000000
-2.186295 100.000000 -3.514878 0.000000 -1.000000 0.000000 1.000000
2.180804 100.000000 -3.404393 0.000000 -1.000000 0.000000 1.000000
-1.926694 100.000000 3.230091 0.000000 -1.000000 0.000000 1.000000
-1.647615 100.000000 2.717453 0.000000 -1.000000 0.000000 1.000000
0.377753 100.000000 1.962212 0.000000 -1.000000 0.000000 1.000000
0.974227 100.000000 0.365879 0.000000 -1.000000 0.000000 1.000000
1.945424 100.000000 3.041342 0.000000 -1.000000 0.000000 1.000000
0.084240 100.000000 1.850300 0.000000 -1.000000 0.000000 1.000000
-2.181604 100.000000 3.430589 0.000000 -1.000000 0.000000 1.000000
0.078753 100.000000 2.719841 0.000000 -1.000000 0.000000 1.000000
1.226841 100.000000 -0.196991 0.000000 -1.000000 0.000000 1.000000
-0.940605 100.000000 -0.237388 0.000000 -1.000000 0.000000 1.000000
