Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
49.8542 -0.574574 0.160671 0.577419 -27.7973 17.2605 37.6142
60.2985 -0.336663 0.035415 0.595023 -30.3701 14.5123 50.0296
60.924 0.421179 0.362788 0.549013 29.9636 23.5317 47.5413
63.2508 0.0501567 0.519714 0.526959 -13.1268 36.5748 49.9062
45.1554 -0.326495 0.453776 0.536226 -2.03954 39.3496 22.056
51.1629 0.596044 0.732984 0.496986 41.085 18.0505 24.5733
42.1883 -0.34223 -0.102547 0.614412 -15.1779 -23.9328 31.2523
35.86 -0.326955 0.58594 0.517651 -19.236 20.6076 22.1641
65.588 -0.0135276 0.00757024 0.598936 28.6343 -17.9959 56.1961
58.2434 0.0847529 -0.0135625 0.601906 4.67904 -20.4026 54.352
59.4508 -0.474973 -0.168653 0.623703 -47.474 -2.94095 35.6647
45.8585 -0.211625 0.65831 0.507481 -25.1651 29.8048 24.1121
61.7757 -0.745592 0.204782 0.57122 -55.7504 3.13779 26.4251
40.4702 -0.0429142 0.686561 0.50351 -18.7137 29.1469 20.9306
47.697 -0.0498777 0.616896 0.513301 3.86145 36.6598 30.2679
51.0562 0.0949197 0.585123 0.517766 -4.33778 34.3466 37.5264
57.4596 0.275319 0.781157 0.490215 17.3765 48.2317 25.9492
41.2273 0.219948 0.332837 0.553223 12.4982 13.6 36.8582
64.1428 -0.171583 0.259629 0.563512 -45.1527 9.92936 44.4627
67.5153 0.0528081 -0.0749624 0.610535 -5.45818 12.9868 66.0293
63.1249 -0.0973347 -0.0143853 0.602022 4.68625 -15.6592 60.972
62.5309 -0.321296 0.904426 0.472891 -28.2577 48.7323 27.1437
55.0552 0.180431 0.10223 0.585633 33.8152 -8.26411 42.6534
39.671 0.0137352 0.628223 0.511709 8.25415 28.0415 26.8203
67.7426 -1.63468 -0.0221493 0.603113 -65.3951 -3.72575 17.2819
53.815 0.202326 0.15255 0.57856 -7.28856 -14.1392 51.4103
72.9163 1.7803 1.09693 0.445836 61.0377 38.3585 10.9458
50.2026 0.0422132 -0.58156 0.681733 -2.27729 -26.3836 42.65
